id,resourceType,title,description,startDate,endDate,Month,Year,Area/Region,Location,State 1,State 2-?,reference/s,EM-DAT?,Report,Journals,Databases,Websites,Newspaper,Missing data,Evacuated,Affected,Homeless,Injuries,Deaths,Insured Cost,Reported cost,Calls to SES,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Roads,Ports,Environmental,Male death,Female death,Children,Adults,Elderly,url,References,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
154,Bushfire,Bushfire - Black Tuesday Tasmania,"On 7 February 1967 over 100 fires were burning across southern Tasmania, which was to be known as 'Black Tuesday'.  Combination of abundant forest litter created by the prolific growth in the Spring of 1966, strong northerly winds of up to 110 km per hour and extremely hot air created ideal conditions for bushfires. The bushfires swept across the south-east coast of Tasmania and burnt through 264,270 hectares in the state's south in the space of five hours coming within 2 km of central Hobart. Sixty two people lost their lives, and 1400 homes or buildings were destroyed. The fires killed thousands of chickens and sheep among other livestock.  A Royal Commission after the fires found there were 110 fires burning within a 56 km radius of Hobart.  The Insurance Council of Australia estimated the 1967 damage at $14 million, with the 2011 estimated normalised cost of $610 million.",7/02/1967,7/02/1967,February,1967,Tasmania,Tasmania,Tasmania,,EM-Track; EM-DAT; ICA; Report; http://home.iprimus.com.au/foo7/firestas.html,11,1,0,2,1,0,,,35000,7000,900,62,15000000,101000000,,,,,1400,,128,,80,,,,,,,,,0.05,77000,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=154,EM-Track,EM-DAT,9,17,22,30,,,,,,,,ICA,Report,
,Cyclone,Cyclone Dinah,"TC Dinah initially caused severe damage at Heron Island from inundation due to large NE swells and then the next day from high winds. Houses were unroofed at Bundaberg, Maryborough and on the Sunshine and Gold Coasts. A storm surge inundated cane farms at Bli Bli and there was knee-deep sea water in Hastings Street, Noosa. There was also sea-flooding to 1.5 metres depth in houses at Sandgate and more than 100 homes were inundated at Cribb Island, one being washed into the sea. The storm surge also impacted the Gold Coast as water lapped the decking of the Jubilee Bridge, about 1.5 m above the highest normal tide and a section of the esplanade collapsed at Surfer's Paradise. A similar surge affected the Tweed River, isolating the town of Fingal, and banana and sugar cane crops were destroyed in the region. Although 'Dinah' remained off the coast, trees were blown down from Rockhampton to Grafton (NSW) and just to the north a car was overturned by wind at Evans Head.",28/01/1967,28/01/1967,February,1967,SE QLD and NE NSW,New South Wales;Queensland,New South Wales,Queensland,PDF - newspaper; http://forum.weatherzone.com.au/ubbthreads.php/topics/254893/Cyclone_Dinah_Details_1967,,0,0,0,1,5,2,,3000,5,20,,,250000000,,,,3000,5,100,,,,,,20,,,,1,,,,,,,,,,,,,PDF - newspaper,,16,,,,,,,,,,,,,
,Cyclone,Cyclone Glenda,"The most significant cyclone, Tropical Cyclone Glenda, hit the Gold Coast coastline in June 1967. Three consecutive storms generated gale force winds, huge waves (up to 16 metres) and widespread flooding. This resulted in major flooding and extensive erosion of Gold CoastÕs beaches. Tropical Cyclone Glenda moved south 500 km east of Brisbane, resulting in large waves that eroded Gold Coast beaches. Waves up to 16 m off the South Queensland coast were reported. Six people died in two separate boating incidents.",2/04/1967,4/04/1967,April,1967,Southern Queensland,Queensland,Queensland,,PDF - report; PDF - newspaper,,1,0,0,0,4,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF - report,,13,,,,,,,,,,,,,
,Flood,Central Australia ,"Between February 5 and March 8, 1967, central Australia received some of its heaviest rains on record. Derived from three separate southward intrusions of monsoonal weather, the rains gave total gaugings of 120_350 mm, with some stations receiving overnight falls of over 150 mm. The ensuing floods were the most devastating in the western Lake Eyre basin in living memory.",5/02/1967,8/03/1967,March,1967,Central Aus,Northern Territory; South Australia,Northern Territory,South Australia,Wiki; PDF - newspaper; Willams (1970) - only discusses the hydrology,,0,1,0,1,0,2,,280,,,,,2000000,,,,,,,,,1,,,,,,,,,,,two major hwy's,,,,,,,,,Wiki,PDF - newspaper,5,22,,,,,,,,,,,,
,Flood,Flood,"Ipswich: Bremer River, in major flood but below 1955 levels. Brisbane: No flooding from Brisbane River itself but widespread severe local flooding from metropolitan creeks with damage estimated in the excess of $1million. Traffic at a standstill; rail traffic halted on some suburban lines. 500 people evacuated from low lying areas. Rainfalls averaging 200 to 250mm in the South Coast Moreton district during the week ending 14th resulted in moderate flooding in the Brisbane and Mary rivers and adjacent coastal streams. The Brisbane River peaked at Vernor on 12th, the highest recorded since 1955, and the Mary River peaked at Gympie on 11th, the highest since 1963. Worst flooding was in the Nerang River, which peaked at Numinbah Valley early on 12th, highest since 1954, and flooded some residential areas on the Gold Coast. Traffic disabilities occurred throughout the Moreton district, but were worst in coastal areas south of Brisbane. Serious local flooding in Brisbane itself on the night of 11th.",15/03/1967,17/03/1967,March,1967,Ingham area,Queensland,Queensland,,PDF - report; newspaper article; QLD flood history,,2,0,0,0,4,,800,,500,,,3000000,7500000,,,,,,,,,,,,,,,,,,,5000,all major coast roads cut and landslides cut roads to tablelands,,,,,,,,,PDF - report,newspaper article,13,32,,,,,,,,,,,,
,Severe Storm,Severe Storm,Storms cut a swathe several miles wide from Coopers Plains to Chermside. Around 3000 insurance claims (mostly hail). Hail to cricket ball. One house had 123 holes in roof and some cars penetrated by hail. Some wind damage,19/12/1967,19/12/1967,December,1967,Brisbane,Queensland,Queensland,,ICA; wiki; Callaghan and Butler (2011),,0,1,1,1,0,,,120,20,5,,5000000,36000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,wiki,4,10,,,,,,,,,,,,
355,Earthquake,Earthquake - Meckering and Region,"At 10.59 am on 14 October 1968, the small town of Meckering about 130 km east of Perth was destroyed by an earthquake that measured 6.9 on the Richter scale. The earthquake was felt throughout the southern half of the State and caused damage in the surrounding townships, particularly York and Northam, and in the Perth Metropolitan area.  Prior to the earthquake the Meckering township consisted of 51 occupied dwellings; 12 private business premises and 15 buildings devoted to Government, public or sporting uses. Buildings which survived the earthquake and were still usable were reduced to 16 houses and three business premises. Approximately 20 people were injured.  The Insurance Council of Australia estimated the 1968 damage at $1.5 million, with the 2012 estimated normalised cost of $57 million.",14/10/1968,14/10/1968,October,1968,Meckering and Region,Western Australia,Western Australia,,"EM-Track; EM-DAT; ICA; Report available at WA library (Everingham, 1968); http://www.australiangeographic.com.au/journal/australias-worst-earthquakes-top-10-most-devastating.htm",11,1,0,0,1,0,,,35000,400,21,,1500000,12000000,,,,50,34,,25,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=355,EM-Track,EM-DAT,9,17,22,73,,,,,,,,ICA,"Report available at WA library (Everingham, 1968)",
,Severe Storm,Severe storm - Killarney (QLD),,22/11/1968,22/11/1968,November,1968,Killarney,Queensland,Queensland,,Dexter (1969); PDF - newspaper; BoM report,,1,0,0,0,4,2,,,800,60,,,1000000,,,,,,205,15,,,,,,,,,,,,,,,,,,,,,,Dexter (1969),PDF - newspaper,14,31,,,,,,,,,,,,
151,Bushfire,Bushfire - Blue Mountains and Illawarra,"During the period 15 October until 3 December, a bushfire damaged the Blue Mountain region. Winds recorded up to 100 km per hour, intensified the fire front. Due to an unusually dry spring, conditions allowed the fire to burn for approximately four weeks. Widespread damage was caused to infrastructure, houses and buildings. A total of 1,500,000 ha were burnt and 14 people died.  Other areas affected included; Valley Heights, Warrimoo, Blaxland and Emu Plains. The damage bill was estimated at approximately $1,500,000. Widespread damage occurred over much of the eastern part of the State. Major fires at Wollongong burnt rainforest, destroyed 33 homes and five other buildings. Fires in the lower Blue Mountains were fanned by 100km/h westerly winds and destroyed 123 buildings. Three lives were lost.",15/10/1968,30/01/1969,January,1969,Blue Mountains and Illawarra,New South Wales,New South Wales,,"EM-Track; http://warangers.asn.au/rangers/fire-control/; Linacre and Hobbs (1977) *find* - conflicting information 2 sources say 3 people died, yet in EM-Track it reports 14; EM-DAT reports 12; PDF - bushfire history; http://www.rfs.nsw.gov.au/dsp_content.cfm?cat_id=1180 ; http://www.winmaleerfs.com.au/WinmaleeRFB_history.html",176,0,1,2,3,4,2,,15000,600,70,14,,2000000,,,,33,150,,123,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=151,EM-Track,http://warangers.asn.au/rangers/fire-control/,9,56,174,193,217,273,,,,,,"Linacre and Hobbs (1977) *find* - conflicting information 2 sources say 3 people died, yet in EM-Track it reports 14",EM-DAT reports 12,PDF - bushfire history
140,Bushfire,Bushfire - Lara and Melbourne Fringe,"On 8 January 1969 a total fire ban day was declared with 230 fires breaking out burning more than 324,000 hectares. Twenty-one of these fires were highly destructive. The worst fires were on the urban fringe of Melbourne and several were serious grass fires. There had been a fire on the previous day at Anakie near the Geelong - Ballan Road. The fire was quickly extinguished though it broke out again early Wednesday. The terrain being flat grassland went up and the fire moved quickly in the direction of Lara where it destroyed a 90 year old gothic church and 40 houses. Seventeen people abandoned their cars and tried to outrun the fire when it crossed the highway, all died. This event was a catalyst in changing guidelines recommending people are safer staying in a car when fire is upon them. The fire burnt to the edge of suburban Melbourne including Altona, Diamond Valley and Kangaroo Ground. In total 23 people died, 100 were injured, and 230 homes and 21 buildings were destroyed.",8/01/1969,9/01/1969,January,1969,Lara and Melbourne Fringe,Victoria,Victoria,,EM-Track; http://home.iprimus.com.au/foo7/firesum.html; PDF - newspaper article,,0,0,1,1,11,2,,,800,100,23,,5000000,,,,,230,,21,,12,,,,,,,,,,12000,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=140,EM-Track,http://home.iprimus.com.au/foo7/firesum.html,9,55,,,,,,,,,,,,
